2.78E-04,-2.22E-03,-1.67E-03,-2.22E-03,2.78E-04
-2.22E-03,1.33E-02,3.33E-02,1.33E-02,-2.22E-03
-1.67E-03,3.33E-02,-8.00E-02,3.33E-02,-1.67E-03
-2.22E-03,1.33E-02,3.33E-02,1.33E-02,-2.22E-03
2.78E-04,-2.22E-03,-1.67E-03,-2.22E-03,2.78E-04
-2.22E-03,1.33E-02,3.33E-02,1.33E-02,-2.22E-03
1.33E-02,-7.11E-02,-0.24,-7.11E-02,1.33E-02
3.33E-02,-0.24,-0.32,-0.24,3.33E-02
1.33E-02,-7.11E-02,-0.24,-7.11E-02,1.33E-02
-2.22E-03,1.33E-02,3.33E-02,1.33E-02,-2.22E-03
-1.67E-03,3.33E-02,-8.00E-02,3.33E-02,-1.67E-03
3.33E-02,-0.24,-0.32,-0.24,3.33E-02
-8.00E-02,-0.32,4.8,-0.32,-8.00E-02
3.33E-02,-0.24,-0.32,-0.24,3.33E-02
-1.67E-03,3.33E-02,-8.00E-02,3.33E-02,-1.67E-03
-2.22E-03,1.33E-02,3.33E-02,1.33E-02,-2.22E-03
1.33E-02,-7.11E-02,-0.24,-7.11E-02,1.33E-02
3.33E-02,-0.24,-0.32,-0.24,3.33E-02
1.33E-02,-7.11E-02,-0.24,-7.11E-02,1.33E-02
-2.22E-03,1.33E-02,3.33E-02,1.33E-02,-2.22E-03
2.78E-04,-2.22E-03,-1.67E-03,-2.22E-03,2.78E-04
-2.22E-03,1.33E-02,3.33E-02,1.33E-02,-2.22E-03
-1.67E-03,3.33E-02,-8.00E-02,3.33E-02,-1.67E-03
-2.22E-03,1.33E-02,3.33E-02,1.33E-02,-2.22E-03
2.78E-04,-2.22E-03,-1.67E-03,-2.22E-03,2.78E-04